dataset,image_index,sigma_true,nu,sigma_hat_krishnan,psnr_diagnostic,ssim_diagnostic,lpips_diagnostic
CelebA,218,0.5,0.01,1.2869609594345093,26.689332847797367,0.7735480666160583,0.17434810101985931
CelebA,219,0.5,0.01,1.3288029432296753,27.68799858100656,0.8355016708374023,0.19119471311569214
CelebA,220,0.5,0.01,1.4016658067703247,29.472696142185807,0.9032042026519775,0.08334905654191971
CelebA,221,0.5,0.01,1.3818788528442383,27.423099060813083,0.8379576802253723,0.10223785787820816
CelebA,222,0.5,0.01,1.5268375873565674,26.492237290997775,0.8375025391578674,0.06165992468595505
CelebA,223,0.5,0.01,1.2848392724990845,28.202673159552305,0.8487507700920105,0.09198720753192902
CelebA,224,0.5,0.01,1.3099772930145264,29.026684218734864,0.841103732585907,0.12119761109352112
CelebA,225,0.5,0.01,1.4176949262619019,27.763771092673018,0.8494520783424377,0.09688376635313034
CelebA,226,0.5,0.01,1.179763674736023,27.503085255389323,0.803049623966217,0.16101713478565216
CelebA,227,0.5,0.01,1.22273588180542,26.33595612317306,0.7585267424583435,0.29687660932540894
CelebA,228,0.5,0.01,1.1725071668624878,27.095538934127305,0.8149251341819763,0.12523804605007172
CelebA,229,0.5,0.01,1.3370273113250732,28.57169362153327,0.7850359082221985,0.12460322678089142
CelebA,230,0.5,0.01,1.4591355323791504,25.759222275305728,0.8637471795082092,0.10726850479841232
CelebA,231,0.5,0.01,1.1034725904464722,30.157748531109657,0.9039831757545471,0.051273785531520844
CelebA,232,0.5,0.01,1.2079989910125732,28.620074582138937,0.8474648594856262,0.10986880213022232
CelebA,233,0.5,0.01,0.8810575008392334,31.01207201437974,0.8713650703430176,0.12503093481063843
CelebA,234,0.5,0.01,1.1922569274902344,31.62102551811509,0.864216148853302,0.18395832180976868
CelebA,235,0.5,0.01,1.5591208934783936,26.032340997223542,0.8494465947151184,0.0744447335600853
CelebA,236,0.5,0.01,1.1992956399917603,27.519164394351108,0.8212066292762756,0.17459292709827423
CelebA,237,0.5,0.01,1.4032799005508423,31.236465944987877,0.8844172358512878,0.07370303571224213
CelebA,238,0.5,0.01,1.2256089448928833,27.94915211637585,0.8396332859992981,0.11921295523643494
CelebA,239,0.5,0.01,1.5033971071243286,25.753663232833933,0.771252453327179,0.2558762729167938
CelebA,240,0.5,0.01,1.1775404214859009,27.548645845566803,0.836092472076416,0.14913319051265717
CelebA,241,0.5,0.01,0.8211421966552734,27.502119439231286,0.8303265571594238,0.12189465761184692
